"Client.Type","Account","ACV_2022","ACV_2023","ACV_2024","First_Record_Type_Name","First_Opportunity_ID"
"End Client","0015Y00003TxyP3",0,12931.2,0,"GOAT.tax","0065Y00001dggy8"
"End Client","0015Y00003TxyQ7",0,20000,0,"R&D","0065Y00001iNrne"
"End Client","0015Y00003TxyRo",0,0,27000,"R&D","006TO000001DS5y"
"End Client","0015Y00003TxyVw",6300,0,0,"Cost Seg","0065Y00001dgxlh"
"End Client","0015Y00003TxyXp",0,5000,0,"Energy","0065Y00001iYSqk"
"CPA","0015Y00003TxybL",0,5516.9,0,"GOAT.tax","0065Y00001gYkR0"
"End Client","0015Y00003TxybO",13000,0,0,"Cost Seg","0065Y00001fqWFc"
"CPA","0015Y00003TxyhA",26000,0,0,"R&D","0065Y00001dgts9"
"End Client","0015Y00003TxyiQ",0,26500,0,"R&D","0065Y00001ja5Z7"
"CPA","0015Y00003Txyj3",0,7500,0,"Cost Seg","0065Y00001iOP75"
"End Client","0015Y00003TxylD",0,7200,0,"Cost Seg","0065Y00001gOcL2"
"End Client","0015Y00003Txym7",0,11914.35,0,"GOAT.tax","0065Y00001iNZ5Z"
"CPA","0015Y00003TxymI",7000,0,0,"Cost Seg","0065Y00001dhGyo"
"End Client","0015Y00003Txymi",0,5863.95,0,"GOAT.tax","0065Y00001dgh2F"
"End Client","0015Y00003TxytR",0,9120.4,0,"GOAT.tax","0065Y00001dgh0r"
"End Client","0015Y00003Txyya",0,15000,0,"R&D","0065Y00001iNrPE"
"CPA","0015Y00003TxyzG",0,0,2724.2,"GOAT.tax","006TO00000A2Yz9"
"End Client","0015Y00003Txz7Y",0,19500,0,"R&D","0065Y00001iZDie"
"End Client","0015Y00003Txz7t",22000,0,0,"R&D","0065Y00001dhR3a"
"End Client","0015Y00003TxzIv",0,39500,0,"R&D","0065Y00001iYR1P"
"End Client","0015Y00003TxzKk",43867.78,0,0,"ERC","0065Y00001fqkuL"
"End Client","0015Y00003TyLbU",5850,0,0,"Cost Seg","0065Y00001dgpAY"
"CPA","0015Y00003TyMmJ",0,2500,0,"Cost Seg","0065Y00001iNJ53"
"End Client","0015Y00003TyMnF",5000,0,0,"Cost Seg","0065Y00001dgp9Z"
"End Client","0015Y00003TyMsF",0,25935,0,"Energy","0065Y00001iNHw4"
"End Client","0015Y00003TyN4J",0,0,6500,"Cost Seg","006TO000000h8aG"
"End Client","0015Y00003TyN6K",0,3900,0,"Cost Seg","006TO0000013WXR"
"End Client","0015Y00003TyN6V",10300,0,0,"Cost Seg","0065Y00001dgnCF"
"End Client","0015Y00003TyNDU",6500,0,0,"Cost Seg","0065Y00001dgnOR"
"End Client","0015Y00003TyNEF",7000,0,0,"Cost Seg","0065Y00001dgy4l"
"End Client","0015Y00003TyNJp",6500,0,0,"Cost Seg","0065Y00001dgnN8"
"CPA","0015Y00003TyNKB",0,4500,0,"Cost Seg","0065Y00001gYg0B"
"CPA","0015Y00003TyNKJ",0,21500,0,"Cost Seg","0065Y00001gZ2Lv"
"CPA","0015Y00003TyNKo",5500,0,0,"Cost Seg","0065Y00001dgmns"
"CPA","0015Y00003TyNM1",6500,0,0,"Cost Seg","0065Y00001fqmrV"
"End Client","0015Y00003TyNPH",0,22955,0,"Cost Seg","0065Y00001iYqOY"
"End Client","0015Y00003TyNWM",0,5500,0,"Cost Seg","0065Y00001jaAWQ"
"End Client","0015Y00003TyNX1",7500,0,0,"Cost Seg","0065Y00001dgoS0"
"End Client","0015Y00003TyNcL",4500,0,0,"Cost Seg","0065Y00001dgn5W"
"End Client","0015Y00003TyNcN",0,5000,0,"Cost Seg","0065Y00001iNcNl"
"End Client","0015Y00003TyNcY",0,750,0,"Cost Seg","0065Y00001gZKiy"
